"External ID","Pricelist Name","Currency","Last Updated by","Last Updated on","Selectable","Sequence","Pricelist Items"
"__export__.product_pricelist_35_a4a5fea4","CITY CENTRE菜价","base.EUR","__export__.res_users_10_962e2fe2","2026-05-25 13:05:07","False","2","__export__.product_pricelist_item_6660_4f0b559f"
"","","","","","","","__export__.product_pricelist_item_7081_00d1e15b"
"","","","","","","","__export__.product_pricelist_item_6130_cfa0e724"
"","","","","","","","__export__.product_pricelist_item_5089_ea405bc6"
"","","","","","","","__export__.product_pricelist_item_4657_014f8b85"
"","","","","","","","__export__.product_pricelist_item_4638_d51bccc2"
"","","","","","","","__export__.product_pricelist_item_1906_fc86eaa0"
"","","","","","","","__export__.product_pricelist_item_1813_9c9f1efd"
"","","","","","","","__export__.product_pricelist_item_1685_ed1a70e1"
"","","","","","","","__export__.product_pricelist_item_1659_8002b944"
"","","","","","","","__export__.product_pricelist_item_7058_45a673f0"
"","","","","","","","__export__.product_pricelist_item_7013_f0a45dd9"
"","","","","","","","__export__.product_pricelist_item_6742_00eb1dde"
"","","","","","","","__export__.product_pricelist_item_6657_5ec79d9e"
"","","","","","","","__export__.product_pricelist_item_5753_69c1bf74"
"","","","","","","","__export__.product_pricelist_item_5083_1d9416c7"
"","","","","","","","__export__.product_pricelist_item_3522_3bb59b99"
"","","","","","","","__export__.product_pricelist_item_3521_d48bfdd6"
"","","","","","","","__export__.product_pricelist_item_2821_b54e837c"
"","","","","","","","__export__.product_pricelist_item_2798_ecf35fd7"
"","","","","","","","__export__.product_pricelist_item_2669_adcde612"
"","","","","","","","__export__.product_pricelist_item_2577_ceddc939"
"","","","","","","","__export__.product_pricelist_item_2384_5e608594"
"","","","","","","","__export__.product_pricelist_item_1827_fc24cedf"
"","","","","","","","__export__.product_pricelist_item_1792_6dd0c879"
"","","","","","","","__export__.product_pricelist_item_1121_4d621c5f"
"","","","","","","","__export__.product_pricelist_item_1087_c553ce2a"
"","","","","","","","__export__.product_pricelist_item_1086_6bbe07aa"
"","","","","","","","__export__.product_pricelist_item_1084_b5a358fe"
"","","","","","","","__export__.product_pricelist_item_923_7896dfb5"
"","","","","","","","__export__.product_pricelist_item_922_7cb280a8"
"","","","","","","","__export__.product_pricelist_item_270_71a85db3"
"","","","","","","","__export__.product_pricelist_item_267_3b6aea83"
"","","","","","","","__export__.product_pricelist_item_255_7f0e3516"
"","","","","","","","__export__.product_pricelist_item_251_779cc197"
"","","","","","","","__export__.product_pricelist_item_246_20ecec46"
"","","","","","","","__export__.product_pricelist_item_245_fc180bbf"
"","","","","","","","__export__.product_pricelist_item_244_a11bdc5c"
"","","","","","","","__export__.product_pricelist_item_236_b6159f0b"
"","","","","","","","__export__.product_pricelist_item_229_efb34042"
"","","","","","","","__export__.product_pricelist_item_227_c311d09d"
"","","","","","","","__export__.product_pricelist_item_219_ba9937e6"
"","","","","","","","__export__.product_pricelist_item_218_f5d49313"
"","","","","","","","__export__.product_pricelist_item_1075_2ebd62cb"
"","","","","","","","__export__.product_pricelist_item_924_8d10b79f"
"","","","","","","","__export__.product_pricelist_item_279_9820f303"
"","","","","","","","__export__.product_pricelist_item_278_6af7d784"
"","","","","","","","__export__.product_pricelist_item_277_1de693b3"
"","","","","","","","__export__.product_pricelist_item_272_42fa440d"
"","","","","","","","__export__.product_pricelist_item_268_f36fc3e0"
"","","","","","","","__export__.product_pricelist_item_259_6c58c04b"
"","","","","","","","__export__.product_pricelist_item_258_dad5de38"
"","","","","","","","__export__.product_pricelist_item_257_a4b8800d"
"","","","","","","","__export__.product_pricelist_item_254_34eedf51"
"","","","","","","","__export__.product_pricelist_item_253_3e2c72bc"
"","","","","","","","__export__.product_pricelist_item_252_df1a8fc9"
"","","","","","","","__export__.product_pricelist_item_250_a0eb57de"
"","","","","","","","__export__.product_pricelist_item_249_fb46153c"
"","","","","","","","__export__.product_pricelist_item_248_1cb0b77f"
"","","","","","","","__export__.product_pricelist_item_247_4f3284ae"
"","","","","","","","__export__.product_pricelist_item_243_7e936bcd"
"","","","","","","","__export__.product_pricelist_item_242_4015c634"
"","","","","","","","__export__.product_pricelist_item_241_beda7362"
"","","","","","","","__export__.product_pricelist_item_238_9d767cba"
"","","","","","","","__export__.product_pricelist_item_235_a3492924"
"","","","","","","","__export__.product_pricelist_item_234_ca45937b"
"","","","","","","","__export__.product_pricelist_item_230_d4240ce4"
"","","","","","","","__export__.product_pricelist_item_228_a9e18381"
"","","","","","","","__export__.product_pricelist_item_225_c1e87d23"
"","","","","","","","__export__.product_pricelist_item_224_84233848"
"","","","","","","","__export__.product_pricelist_item_221_bc20ec54"
"","","","","","","","__export__.product_pricelist_item_220_62bb6273"
"__export__.product_pricelist_74_8ceded1a","TAKEAWAY-2菜价","base.EUR","__export__.res_users_7_ace94875","2026-05-29 11:21:34","False","3","__export__.product_pricelist_item_7083_48fdb92a"
"","","","","","","","__export__.product_pricelist_item_6126_50a64605"
"","","","","","","","__export__.product_pricelist_item_4654_db02b5d2"
"","","","","","","","__export__.product_pricelist_item_4229_f34d0a3e"
"","","","","","","","__export__.product_pricelist_item_4182_1e50fae1"
"","","","","","","","__export__.product_pricelist_item_4180_06774437"
"","","","","","","","__export__.product_pricelist_item_4176_56a67fe6"
"","","","","","","","__export__.product_pricelist_item_4173_2a631e88"
"","","","","","","","__export__.product_pricelist_item_4170_2b34e4aa"
"","","","","","","","__export__.product_pricelist_item_4169_fbed5442"
"","","","","","","","__export__.product_pricelist_item_4168_c1967e28"
"","","","","","","","__export__.product_pricelist_item_4167_8f897e1e"
"","","","","","","","__export__.product_pricelist_item_4151_ef6d96a5"
"","","","","","","","__export__.product_pricelist_item_4534_c38caa38"
"","","","","","","","__export__.product_pricelist_item_4224_119a8c4c"
"","","","","","","","__export__.product_pricelist_item_4201_d46b5826"
"","","","","","","","__export__.product_pricelist_item_4186_86102438"
"","","","","","","","__export__.product_pricelist_item_4185_a59e3249"
"","","","","","","","__export__.product_pricelist_item_4181_ac4f2514"
"","","","","","","","__export__.product_pricelist_item_4178_0540b3c6"
"","","","","","","","__export__.product_pricelist_item_4177_aa35b5e9"
"","","","","","","","__export__.product_pricelist_item_4175_9e24b63a"
"","","","","","","","__export__.product_pricelist_item_4171_64e30095"
"","","","","","","","__export__.product_pricelist_item_4166_c2cfb84a"
"","","","","","","","__export__.product_pricelist_item_4165_d8ebd65e"
"","","","","","","","__export__.product_pricelist_item_4164_c6342261"
"","","","","","","","__export__.product_pricelist_item_4163_27156853"
"","","","","","","","__export__.product_pricelist_item_4161_1d016dbb"
"","","","","","","","__export__.product_pricelist_item_4160_e72214da"
"","","","","","","","__export__.product_pricelist_item_4157_e19fef33"
"","","","","","","","__export__.product_pricelist_item_4150_7b005fb0"
"","","","","","","","__export__.product_pricelist_item_4148_01c7ea04"
"","","","","","","","__export__.product_pricelist_item_4145_3dc15902"
"","","","","","","","__export__.product_pricelist_item_4144_6a7b3afe"
"","","","","","","","__export__.product_pricelist_item_4140_f9f953d0"
"","","","","","","","__export__.product_pricelist_item_4139_6d58187d"
"","","","","","","","__export__.product_pricelist_item_4131_0eb15807"
"","","","","","","","__export__.product_pricelist_item_4130_2e3949de"
"","","","","","","","__export__.product_pricelist_item_4126_c79344c1"
"","","","","","","","__export__.product_pricelist_item_4125_c2e399ea"
"","","","","","","","__export__.product_pricelist_item_4124_267eb54b"
"","","","","","","","__export__.product_pricelist_item_4119_9f9d6744"
"","","","","","","","__export__.product_pricelist_item_4118_0c4a87bb"
"","","","","","","","__export__.product_pricelist_item_4117_cd5f4922"
"","","","","","","","__export__.product_pricelist_item_4162_8f12e4f1"
"","","","","","","","__export__.product_pricelist_item_4159_e5ce8f3a"
"","","","","","","","__export__.product_pricelist_item_4158_2c9f7d55"
"","","","","","","","__export__.product_pricelist_item_4156_56d594cc"
"","","","","","","","__export__.product_pricelist_item_4155_4c097aaa"
"","","","","","","","__export__.product_pricelist_item_4154_c7a2659d"
"","","","","","","","__export__.product_pricelist_item_4152_496119e0"
"","","","","","","","__export__.product_pricelist_item_4149_da835851"
"","","","","","","","__export__.product_pricelist_item_4147_c3f8e2ba"
"","","","","","","","__export__.product_pricelist_item_4146_9ee4165e"
"","","","","","","","__export__.product_pricelist_item_4143_d01a802f"
"","","","","","","","__export__.product_pricelist_item_4142_fb1cc7f2"
"","","","","","","","__export__.product_pricelist_item_4141_06b28c76"
"","","","","","","","__export__.product_pricelist_item_4138_c311445b"
"","","","","","","","__export__.product_pricelist_item_4137_b978e1cc"
"","","","","","","","__export__.product_pricelist_item_4136_2c6e9aa7"
"","","","","","","","__export__.product_pricelist_item_4135_6da09c31"
"","","","","","","","__export__.product_pricelist_item_4134_14043402"
"","","","","","","","__export__.product_pricelist_item_4133_9de0ced1"
"","","","","","","","__export__.product_pricelist_item_4132_f98b4909"
"","","","","","","","__export__.product_pricelist_item_4127_95986a33"
"","","","","","","","__export__.product_pricelist_item_4123_b5adcdf2"
"","","","","","","","__export__.product_pricelist_item_4122_1e7985ee"
"","","","","","","","__export__.product_pricelist_item_4121_e91c9075"
"","","","","","","","__export__.product_pricelist_item_4120_879262a6"
"","","","","","","","__export__.product_pricelist_item_4116_fd1d2841"
"__export__.product_pricelist_44_2530682a","TAKEAWAY菜价","base.EUR","__export__.res_users_7_ace94875","2026-05-29 11:24:14","False","4","__export__.product_pricelist_item_7082_1133a4f3"
"","","","","","","","__export__.product_pricelist_item_5752_0620edd5"
"","","","","","","","__export__.product_pricelist_item_2400_962594c1"
"","","","","","","","__export__.product_pricelist_item_2202_8c9f8b9e"
"","","","","","","","__export__.product_pricelist_item_1826_47447d5f"
"","","","","","","","__export__.product_pricelist_item_1818_c29194e1"
"","","","","","","","__export__.product_pricelist_item_1774_8b6cd357"
"","","","","","","","__export__.product_pricelist_item_1660_1f9d4b58"
"","","","","","","","__export__.product_pricelist_item_1633_b4390dce"
"","","","","","","","__export__.product_pricelist_item_1565_96b4555b"
"","","","","","","","__export__.product_pricelist_item_6154_a249911a"
"","","","","","","","__export__.product_pricelist_item_4655_06258836"
"","","","","","","","__export__.product_pricelist_item_4533_d9f40fd9"
"","","","","","","","__export__.product_pricelist_item_4531_86841940"
"","","","","","","","__export__.product_pricelist_item_4364_9de6ad63"
"","","","","","","","__export__.product_pricelist_item_3691_ac4245f1"
"","","","","","","","__export__.product_pricelist_item_2671_7b7b1bc9"
"","","","","","","","__export__.product_pricelist_item_2455_d0bc1702"
"","","","","","","","__export__.product_pricelist_item_2454_600f6404"
"","","","","","","","__export__.product_pricelist_item_2366_533f5fde"
"","","","","","","","__export__.product_pricelist_item_2250_0b867552"
"","","","","","","","__export__.product_pricelist_item_2237_43cb4663"
"","","","","","","","__export__.product_pricelist_item_2208_4ad01640"
"","","","","","","","__export__.product_pricelist_item_2207_c735c81f"
"","","","","","","","__export__.product_pricelist_item_2195_8365a32f"
"","","","","","","","__export__.product_pricelist_item_2118_131c5e86"
"","","","","","","","__export__.product_pricelist_item_1810_7d8931a3"
