"External ID","Name","Attribute Values","Customer Taxes","Internal Reference","Sale Price","Vendor Taxes","Customer Taxes/Amount","Customer Taxes/Display Name","Customer Taxes/ID","Customer Taxes/Tax Name","# Product Variants"
"__export__.product_product_19590_50aa127a","Aji Chicken&Veg Gyoza 10*600g CASE","","__export__.account_tax_4_2705eab1","AJC","46.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19588_3dc5fbc8","Aji Duck Gyoza 10*600g CASE","","__export__.account_tax_4_2705eab1","AJD","50.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19589_bf2dd7e1","Aji Pork Gyoza 10*600g CASE","","__export__.account_tax_4_2705eab1","AJP","46.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19592_7d080992","Aji Prawn Gyoza 10*600g CASE","","__export__.account_tax_4_2705eab1","AJPR","72.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19591_0f494599","Aji Veg Gyoza SPINACH 10*600g CASE","","__export__.account_tax_4_2705eab1","AJV","40.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_22108_5278c64a","Aji Wakame Gyoza 12*400g CASE","","__export__.account_tax_4_2705eab1","AJW","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5670_1ebf2655","Aubergine CASE","","__export__.account_tax_4_2705eab1","AUC","13.700000000000001","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5673_6752b976","RTE Avocado CASE","","__export__.account_tax_4_2705eab1","AVC","22.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5705_350d29d2","Basil KG","","__export__.account_tax_4_2705eab1","BAK","15.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19805_790223b1","GS Baby Corn 24*425g CASE","","__export__.account_tax_4_2705eab1","BBC","24.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
