"id","name","partner_id/id","note_internal","date_order","order_return","team_id/id","user_id/id","order_line/id","order_line/sale_order_option_ids/id","order_line/sale_order_option_ids/product_id","order_line/sale_order_option_ids/quantity","order_line/sale_order_option_ids/order_id","order_line/sale_order_option_ids/sequence","order_line/sale_order_option_ids/price_unit","order_line/sale_order_option_ids/uom_id","order_line/product_id/id","order_line/price_selection","order_line/price_unit","order_line/tax_id/id","order_line/qty_delivered","order_line/product_uom_qty"
"__export__.sale_order_152272_39df2088","D152258","__export__.res_partner_878_d6f1bc08","","2026-06-20 22:51:41","False","__export__.crm_team_96_8d48bd6a","__export__.res_users_10_962e2fe2","__export__.sale_order_line_1383030_eb958850","","","","","","","","__export__.product_product_7654_8bc726cd","PriceList","2.2","__export__.account_tax_4_2705eab1","0.0","5.0"
"","","","","","","","","__export__.sale_order_line_1383031_d021eb66","","","","","","","","__export__.product_product_21671_cb35a7be","PriceList","5.85","__export__.account_tax_4_2705eab1","0.0","2.0"
"","","","","","","","","__export__.sale_order_line_1383032_a800e0a8","","","","","","","","__export__.product_product_5766_b4c239cf","PriceList","10.0","__export__.account_tax_4_2705eab1","0.0","1.0"
"","","","","","","","","__export__.sale_order_line_1383033_1e748ef9","","","","","","","","__export__.product_product_16161_70050285","PriceList","8.5","__export__.account_tax_4_2705eab1","0.0","2.0"
"","","","","","","","","__export__.sale_order_line_1383034_24d14f08","","","","","","","","__export__.product_product_5837_1662c874","PriceList","7.5","__export__.account_tax_4_2705eab1","0.0","1.0"
"","","","","","","","","__export__.sale_order_line_1383035_c8ff138c","","","","","","","","__export__.product_product_6801_5b6989fa","PriceList","4.5","__export__.account_tax_4_2705eab1","0.0","1.0"
"","","","","","","","","__export__.sale_order_line_1383036_e916972e","","","","","","","","__export__.product_product_8041_d419aa60","PriceList","15.5","__export__.account_tax_4_2705eab1","0.0","2.0"
"","","","","","","","","__export__.sale_order_line_1383037_6d5d485f","","","","","","","","__export__.product_product_8052_2333031e","PriceList","15.0","__export__.account_tax_4_2705eab1","0.0","1.0"
"","","","","","","","","__export__.sale_order_line_1383038_ef04cd39","","","","","","","","__export__.product_product_7976_de9b18f3","PriceList","15.5","__export__.account_tax_4_2705eab1","0.0","2.0"
"","","","","","","","","__export__.sale_order_line_1383039_4714d5cb","","","","","","","","__export__.product_product_5679_219c5c03","Last Price","4.8","__export__.account_tax_4_2705eab1","0.0","1.0"
"","","","","","","","","__export__.sale_order_line_1383040_0a5ceb1f","","","","","","","","__export__.product_product_7703_4fbd86e2","Last Price","25.5","__export__.account_tax_4_2705eab1","0.0","3.0"
"","","","","","","","","__export__.sale_order_line_1383041_956be22c","","","","","","","","__export__.product_product_21737_06d1db1b","Last Price","3.25","__export__.account_tax_4_2705eab1","0.0","2.0"
"","","","","","","","","__export__.sale_order_line_1383042_8baf4894","","","","","","","","__export__.product_product_7649_47ccdf4e","PriceList","11.5","__export__.account_tax_4_2705eab1","0.0","1.0"
