"id","name","partner_id/id","note_internal","date_order","order_return","team_id/id","user_id/id","order_line/id","order_line/qty_delivered","order_line/product_uom_qty","order_line/product_id/id","order_line/tax_id/id"
"__export__.sale_order_152272_39df2088","D152258","__export__.res_partner_878_d6f1bc08","","2026-06-20 22:51:41","False","__export__.crm_team_96_8d48bd6a","__export__.res_users_10_962e2fe2","__export__.sale_order_line_1383030_eb958850","0.0","5.0","__export__.product_product_7654_8bc726cd","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383031_d021eb66","0.0","2.0","__export__.product_product_21671_cb35a7be","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383032_a800e0a8","0.0","1.0","__export__.product_product_5766_b4c239cf","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383033_1e748ef9","0.0","2.0","__export__.product_product_16161_70050285","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383034_24d14f08","0.0","1.0","__export__.product_product_5837_1662c874","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383035_c8ff138c","0.0","1.0","__export__.product_product_6801_5b6989fa","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383036_e916972e","0.0","2.0","__export__.product_product_8041_d419aa60","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383037_6d5d485f","0.0","1.0","__export__.product_product_8052_2333031e","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383038_ef04cd39","0.0","2.0","__export__.product_product_7976_de9b18f3","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383039_4714d5cb","0.0","1.0","__export__.product_product_5679_219c5c03","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383040_0a5ceb1f","0.0","3.0","__export__.product_product_7703_4fbd86e2","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383041_956be22c","0.0","2.0","__export__.product_product_21737_06d1db1b","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383042_8baf4894","0.0","1.0","__export__.product_product_7649_47ccdf4e","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383043_c9b7f5e5","0.0","1.0","__export__.product_product_5703_593e2363","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383044_77593b58","0.0","2.0","__export__.product_product_21058_bc3b95eb","l10n_generic_coa.1_sale_tax_template"
"","","","","","","","","__export__.sale_order_line_1383045_cb6baaa0","0.0","1.0","__export__.product_product_5742_33c71bab","__export__.account_tax_4_2705eab1"
"__export__.sale_order_152271_93235eca","D152257","__export__.res_partner_866_7023b017","","2026-06-20 22:50:19","False","__export__.crm_team_275_339b1b1f","__export__.res_users_8_fb87432d","__export__.sale_order_line_1383023_912c5c87","0.0","3.0","__export__.product_product_6774_daa840dd","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383024_c7332b9e","0.0","3.0","__export__.product_product_7703_4fbd86e2","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383025_ee785f1f","0.0","3.0","__export__.product_product_21671_cb35a7be","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383026_86abb3ae","0.0","5.0","__export__.product_product_7976_de9b18f3","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383027_19d7812b","0.0","4.0","__export__.product_product_7649_47ccdf4e","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383028_c2ae3593","0.0","1.0","__export__.product_product_6686_b4019beb","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383029_6cec5b1a","0.0","2.0","__export__.product_product_20655_eadd7b2f","__export__.account_tax_4_2705eab1"
"__export__.sale_order_152270_330d00f1","D152256","__export__.res_partner_2226_073d5a5a","","2026-06-20 22:47:45","False","__export__.crm_team_276_22e06523","__export__.res_users_10_962e2fe2","__export__.sale_order_line_1383017_c838d5cc","0.0","2.0","__export__.product_product_18925_fcf08442","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383018_4872cab0","0.0","2.0","__export__.product_product_7703_4fbd86e2","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383019_6572cfb5","0.0","1.0","__export__.product_product_6683_b4373dda","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383020_3fdc40d8","0.0","1.0","__export__.product_product_22002_43084913","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383021_7fe9fb4b","0.0","1.0","__export__.product_product_18972_5b352060","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383022_606f2322","0.0","2.0","__export__.product_product_20660_3dfc875d","__export__.account_tax_4_2705eab1"
"__export__.sale_order_152269_6f92cbdf","D152255","__export__.res_partner_1042_4b562afb","","2026-06-20 22:46:06","False","__export__.crm_team_96_8d48bd6a","__export__.res_users_30_f31202ea","__export__.sale_order_line_1383009_99898bb9","0.0","16.0","__export__.product_product_6702_e9f5c581","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383010_d16ed06c","0.0","1.0","__export__.product_product_18925_fcf08442","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383011_adbafdab","0.0","1.0","__export__.product_product_16365_b2fc34dd","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383012_7fcce3a7","0.0","5.0","__export__.product_product_18725_2179b305","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383013_292bb303","0.0","2.2","__export__.product_product_18940_4282f2f4","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383014_bb7aaa14","0.0","1.0","__export__.product_product_5687_ca424cce","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383015_572fe123","0.0","4.0","__export__.product_product_21671_cb35a7be","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383016_a44fde75","0.0","1.0","__export__.product_product_7983_142f2e5d","__export__.account_tax_4_2705eab1"
"__export__.sale_order_152268_20ab9584","D152254","__export__.res_partner_768_72edcbdb","","2026-06-20 22:44:58","False","__export__.crm_team_49_ed5dc1d0","__export__.res_users_30_f31202ea","__export__.sale_order_line_1383001_3ddd4208","0.0","4.0","__export__.product_product_16161_70050285","__export__.account_tax_4_2705eab1"
"","","","","","","","","__export__.sale_order_line_1383002_8eba5c49","0.0","1.0","__export__.product_product_6089_ffc8e515","__export__.account_tax_4_2705eab1"
