# 未找到图片的商品（生成于 2026-04-18T00:12:31.213Z）
# 格式：商品名	数据库ID
(Bowl) KSF Braised Beef Noodle 12*113g CASE	tmpl_p20414
(Bowl) KSF Hot Beef Noodle 12*111g CASE	tmpl_p20416
*Blue Bag*Odlums Cream Plain Flour 25Kg	tmpl_p6098
*Blue Bag*Odlums Cream Plain Flour 8*2KG	tmpl_p6099
*Frozen* WANG Boiled Sweet Corn 24*360g CASE	tmpl_p19849
*Frozen* WANG Boiled Sweet Corn 360g PKT	tmpl_p21225
*PVC* Cling Film 6's 300mm*300m CASE	tmpl_p19749
*PVC* Cling Film300mm*300m  PKT	tmpl_p19891
*Peeled* Edamame  Soy Bean 500g PKT	tmpl_p20060
*Powder* GL Star Anise 1kg PKT	tmpl_p18243
*Powder* GL Star Anise 20*1kg CASE	tmpl_p18244
*Red Bag*Odlums Self Raising Flour 25KG	tmpl_p18720
*Red Bag*Odlums Self Raising Flour 8*2KG	tmpl_p16292
*Seeds* Star Anise 1KG PKT	tmpl_p20653
180's Egg Large HALF CASE	tmpl_p6680
23862 Sticker Bubble Tea 20000ea	tmpl_p21942
23863 Sticker Round Light Box 20000ea	tmpl_p21943
26/30 PD Prawn IQF (Black Box) 6*800g CASE	tmpl_p20864
26/30 Prawn HLSO IQF 1Kg PKT	tmpl_p21250
26/32 OZ (116mm) pp Lids CASE	tmpl_p5627
2QT Brown Bag 5kg	tmpl_p5629
30/40 Vannamei HOSO Prawn 10*1kg CASE	tmpl_p21598
360's Egg Large CASE	tmpl_p6683
3QT Brown Bag 5KG	tmpl_p5632
4QT Lined Bag	tmpl_p21573
5-Spice Powder 227g Wah Loong PKT	tmpl_p15821
5QT Brown Bag 5KG	tmpl_p5635
6/8 Black Tiger HOSO 10*1KG CASE	tmpl_p21103
6/8 Black Tiger HOSO 1KG PKT	tmpl_p21104
6QT Brown BAG 5KG	tmpl_p5636
6QT Lined Bag	tmpl_p21574
8/12/16/ OZ(98mm) White Paper Lid 500's CASE	tmpl_p18921
